Source,Prediction,Reference
"The decision was made at the request of Finance Minister Dinh Tien Dung to the General Department of Taxation and the General Customs Department Tuesday, following reports that a Japanese plastic company paid the officials $215,000 in bribes.","Quyết định này được đưa ra tại yêu cầu của Bộ trưởng Bộ Tài chính Đinh Tiền Dũng đến Tổng Cục thuế và Tổng Cục Hải quan vào hôm thứ Ba, sau khi báo cáo rằng một công ty nhựa Nhật Bản đã trả cho các quan chức 215.000 đô la trong các khoản tiền tiền.","Quyết định này được đưa ra theo yêu cầu của Bộ trưởng Tài chính Đinh Tiến Dũng lên Tổng cục Thuế và Tổng cục Hải quan vào hôm thứ ba, sau khi có báo cáo rằng một công ty nhựa của Nhật đã hối lộ cho các quan chức 215.000 đô la."
"The deal comes after the Russian Direct Investment Fund (RDIF) reached agreements with Indian manufacturers to produce 300 million doses of the vaccine in India, which is also a major consumer of Russian oil and arms.","Thỏa thuận này đến sau khi Quỹ Đầu tư Dự trữ Nga (RDSIF) đạt được các thoả thuận với các nhà sản xuất Ấn Độ để sản xuất 300 triệu liều vắc-xin tại Ấn Độ, cũng là người tiêu dùng dầu và súng chính của Nga.","Thỏa thuận này diễn ra sau khi Quỹ đầu tư trực tiếp của Nga (RDIF) đạt được thỏa thuận với các nhà sản xuất Ấn Độ sẽ sản xuất 300 triệu liều vắc xin ở Ấn Độ, quốc gia này cũng là nước tiêu thụ dầu và vũ khí lớn của Nga."
It was the story of something better down the Nile,Đó là câu chuyện về một thứ tốt hơn ở Nile,Đó là câu chuyện về điều tốt đẹp hơn là xuôi theo sông Nile
"The "" where does the money go ? "" question frequently comes up because of spending on a day-to-day basis , without any sort of plan for taking care of needs and wants .",""" tiền tệ đi đâu ? "" thường xuyên tăng vì chi tiêu trong cơ sở hàng ngày , mà không có kế hoạch nào để chăm sóc nhu cầu và mong muốn .","Câu hỏi "" đồng tiền đi đâu ? "" thường xuyên được đặt ra vì việc chi tiêu diễn ra hàng ngày , không có bất cứ kế hoạch nào để quản lý những nhu cầu và đòi hỏi ấy ."
my dad is in the garden.,bố tôi đang ở trong vườn.,bố tôi ở trong vườn.
"Dangerous weather phenomena could occur during the heavy rainfall, such as whirlwinds, lightning, and gusty winds, the center said.","Trung tâm cho biết các hiện tượng thời tiết nguy hiểm có thể xảy ra trong mưa lớn, chẳng hạn như gió lạnh, gió và gió lạnh.","Trung tâm cho biết các hiện tượng thời tiết nguy hiểm có thể xảy ra khi lượng mưa lớn như lốc, sét và gió giật mạnh."
this activity is against the law.,hoạt động này phản đối luật pháp.,hoạt động này là trái với luật pháp.
"Some of the most common side effects are swelling , redness , and pain at the site of the injection , along with headache , fever , or fatigue .","Một số tác dụng phụ thường thấy nhất là sưng , đỏ , và đau ở vùng tiêm , cùng với đau đầu , sốt , hoặc mệt mỏi .","Một số tác dụng phụ thường thấy nhất là da bị sưng , nổi đỏ và đau nhức ở vùng tiêm , cùng với nhức đầu , sốt , hoặc mệt mỏi ."
Each has said the tax cuts should be extended at least temporarily .,Mỗi người đều cho biết việc cắt giảm thuế nên kéo dài ít nhất là tạm thời .,Mỗi người cũng cho rằng việc giảm thuế cũng nên kéo dài tạm thời thôi .
"Which means that by doing it once,","Điều đó có nghĩa là bằng cách làm một lần,","Nghĩa là bằng cách giải quyết một lần,"
"For Scientific American's Instant Egghead,","Đối với Scientific American's Instant Egghead,","Thuộc về Scientific American's Instant Egghead,"
"Bones are fastened to other bones by long , fibrous straps called ligaments .","Xương nhanh chóng vào các xương khác bằng những chiếc xương xương dài , gọi là những chiếc xương .","Các xương được kết nối với nhau bởi những sợi dây dài , có thớ được gọi là dây chằng ."
"The company sold 5,124 cars in the first quarter of this year to rank fifth in sales behind Hyundai, Toyota, Kia, and Honda.","Công ty đã bán 5,123 xe trong quý đầu năm nay để xếp thứ năm doanh số bán hàng sau Hyundai, Toyota, Kia và Honda.","Công ty đã bán được 5.124 xe trong quý đầu tiên của năm nay, đứng thứ 5 về doanh số sau Hyundai, Toyota, Kia và Honda."
Even the professionals don't always beat other professionals .,Thậm chí những chuyên gia không phải lúc nào cũng đánh bại những chuyên gia khác .,Ngay cả những nhà đầu tư chuyên nghiệp cũng không phải lúc nào cũng đánh bại những nhà đầu tư khác .
"If the girl had been treated during this window of opportunity,","Nếu cô gái đã được điều trị trong cửa sổ này,","Nếu cô gái được điều trị trong khoảng thời gian cơ hội kia,"
"Nha Trang 's total population of more than 200,000 includes an expat population of about 1,000 people .",Tổng dân số của Nha Trang có hơn 200.000 người bao gồm dân số người nước ngoài khoảng 1.000 người .,"Tổng số dân của Nha Trang là 200.000 , trong đó chỉ có khoảng 1000 người nước ngoài ."
""" I ca n't learn in class when I feel like only a few people ever get called on to participate . """,""" Tôi không thể học trong lớp khi tôi cảm thấy như một vài người từng được kêu gọi tham gia . """,""" Em không thể học ở lớp khi cảm thấy chỉ giống một vài người lúc nào cũng bị gọi . """
"Okay , so maybe with that added in I 'm at least a candidate for French vanilla .","Vâng , có lẽ với điều đó , tôi ít nhất là ứng cử viên cho những món ăn từ Pháp .","OK , có lẽ nếu bổ sung thêm chừng ấy , ít nhất tôi sẽ trở thành một ứng viên sáng giá cho một cốc kem vani Pháp ."
"Breast cancer patients "" stop drugs "" due to side-effects","Bệnh nhân ung thư vú "" ngưng thuốc "" do tác dụng phụ","Bệnh nhân ung thư vú "" ngưng thuốc "" do tác dụng phụ"
She 's keen not to pre-judge the book entirely .,Cô ấy rất sợ không đánh giá toàn bộ cuốn sách .,Bà không hoàn toàn kịch liệt phê phán quyển sách này .
"Would you like to share more with me?""","Bạn có muốn chia sẻ thêm với tôi không?""","Cô có muốn chia sẻ gì thêm không?"""
"However , by springtime , he had grown so big that the farmer decided :","Tuy nhiên , vào mùa xuân , ông đã phát triển quá lớn đến nỗi nông dân quyết định :","Tuy nhiên , khi mùa xuân đến , chú phát triển to lớn đến nỗi bác nông dân quyết định :"
"Bacterial meningitis , an inflammation of the membrane that protects the brain and spinal cord , is a rare but highly contagious disease that can spread rapidly among kids who are in close quarters .","Viêm màng não do vi khuẩn , viêm màng não bảo vệ não và sống , là một bệnh hiếm khi hiếm khi lây lan nhanh chóng ở trẻ ở các phần gần .","Viêm màng não do vi khuẩn là một chứng bệnh viêm màng bảo vệ não và tuỷ sống , là một bệnh hiếm gặp nhưng rất hay lây lan có thể lây lan nhanh giữa các trẻ sang vùng lân cận ."
It's exactly the same shade of gray.,Chính xác là một màu xám tương tự.,Chúng có cùng màu xám như nhau.
I broke your ashtray.,Tôi đã xóa lỗ của bạn.,Tao đã làm bể đồ gạt tàn thuốc của mày rồi.
China was the leading importer of plastic waste until it banned imports at the start of 2018 after a string of scandals.,Trung Quốc là nhà nhập khẩu nhựa hàng đầu cho đến khi nó cấm nhập khẩu vào đầu năm 2018 sau một loạt các vụ bê bối.,Trung Quốc là nước nhập khẩu chất thải nhựa hàng đầu cho đến khi nước này cấm nhập khẩu vào đầu năm 2018 sau một loạt vụ bê bối.
and the chemical structures of those sugars determine your blood type.,và cấu trúc hóa học của những loại đường đó xác định loại máu của bạn.,và những cấu tạo hóa học của những lớp đường quyết định nhóm máu.
"Antibiotics can be useful in fighting off bacteria but they are ineffective against viruses, this is because bacteria and virus are completely different, both having unique characteristics that need specialized treatments.","Thuốc kháng sinh có thể hữu ích trong việc chống vi khuẩn nhưng chúng không hiệu quả chống lại vi-rút, đây là vì vi khuẩn và vi-rút hoàn toàn khác nhau, cả hai đều có đặc điểm đặc biệt cần điều trị chuyên môn.","Thuốc kháng sinh có thể hữu ích trong chiến đấu chống lại vi khuẩn nhưng không có tác dụng với vi-rút, điều này là do vi khuẩn và vi-rút hoàn toàn khác nhau, cả hai đều có những đặc điểm độc đáo có cần phương pháp điều trị chuyên biệt."
"And consumers also will have to receive 45 days "" notice and an explanation before their interest rates increase .","Và người tiêu dùng cũng sẽ phải nhận được 45 ngày "" thông báo và giải thích trước khi lãi suất của họ tăng .",Và người chủ thẻ cũng phải nhận được thông báo trong vòng 45 ngày và một lời giải thích trước khi lãi suất của họ bị tăng lên .
"Also, they cannot put their arms around or hold residents during their 30-minute visit.","Ngoài ra, họ không thể đặt tay xung quanh hoặc giữ cư dân trong chuyến thăm 30 phút.","Đồng thời, họ không thể vòng tay quanh hoặc ôm người trong viện dưỡng lão trong chuyến thăm 30 phút của mình."
Universal Means of Exchange: gold and Bitcoin are recognized and exchanged across international lines.,Tính toàn cầu của Tiền giao dịch: vàng và Bitcoin được công nhận và trao đổi trên các đường quốc tế.,Phương tiện trao đổi toàn cầu: vàng và Bitcoin được công nhận và trao đổi trên các đường quốc tế.
"And it's because of exposure, primarily.",Và đó là vì tiếp xúc chủ yếu.,Và đó chủ yếu là do phơi nhiễm.
"But as evidence mounts that the worst stage of the downturn is ending , many economists are advising governments to start curtailing credit lest some sectors overheat and trigger inflation problems in 2010 or beyond .","Nhưng như bằng chứng cho thấy giai đoạn tồi tệ nhất của thời kỳ suy thoái đang kết thúc , nhiều nhà kinh tế học đang khuyên chính phủ bắt đầu giảm thiểu tín dụng làm giảm một số lĩnh vực quá nhiệt và gây ra các vấn đề lạm phát vào năm 2010 hoặc hơn .","Nhưng như bằng chứng cho thấy là giai đoạn tệ hại nhất của thời kỳ suy thoái đang chấm dứt , nhiều nhà kinh tế , đang khuyên chính phủ nên bắt đầu cắt bớt tín dụng vì sợ một số lĩnh vực quá nóng và gây ra lạm phát vào năm 2010 hoặc sau đó ."
And it's being pursued more widely around the globe,Và nó đang được theo dõi rộng rãi trên toàn cầu,Cách sống này được rất nhiều nơi trên thế giới theo đuổi
"""More money will make us happy.""","""Tiền nhiều hơn sẽ khiến chúng ta hạnh phúc.""","""Càng nhiều tiền sẽ khiến chúng ta hạnh phúc."""
"I think of the people and the places that give me immeasurable joy,","Tôi nghĩ về những người và những nơi đã cho tôi niềm vui,",Tôi nghĩ về con người và những nơi cho tôi niềm vui sướng vô hạn
we are going to see your movie.,chúng tôi sẽ xem phim của bạn.,chúng tôi sẽ xem phim của bạn.
"HA NOI — Domestic and international policy makers and financial experts yesterday discussed the global financial crisis and its impacts on Viet Nam , as well as the economies of other Asian countries , with a focus on the reform of State-owned enterprises ( SOEs ) .","Hôm qua , các nhà sản xuất chính sách và chuyên gia tài chính quốc tế và các chuyên gia tài chính vào hôm qua đã thảo luận về cuộc khủng hoảng tài chính toàn cầu và tác động của nó đối với Việt Nam , cũng như các nền kinh tế của các nước châu Á khác , với sự tập trung vào","Hôm qua , các nhà hoạch định chính sách trong nước và quốc tế và các chuyên gia tài chính toàn cầu đã cùng nhau thảo luận về cuộc khủng hoảng tài chính toàn cầu và những tác động đối với Việt Nam cũng như nền kinh tế các nước Châu Á khác , tập trung vào việc cải cách các doanh nghiệp nhà nước ."
"India to Step up Economic Growth , But Inflation Remains a Concern","Ấn Độ tăng trưởng kinh tế , nhưng lạm phát lại là một sự lo ngại",Ấn độ đẩy mạnh tăng trưởng kinh tế nhưng lạm phát vẫn là một vấn đề đáng lo ngại
Modified common cold viruses are being used to create COVID-19 vaccine candidates in China and Russia.,Các virus lạnh thường được sử dụng để tạo ra ứng cử viên vắc-xin COVID-19 tại Trung Quốc và Nga.,Virus cảm lạnh biến đổi gen đã được sử dụng để tạo ra các ứng cử viên cho vaccine COVID-19 tại Trung Quốc và nga.
Boys and girls with ADHD had a 72 percent increased risk of developing unhealthy dependence on the Internet and those who exhibited significant hostility had a 67 percent increased risk .,Các bé trai và nữ sinh bị ADHD đã tăng 75% nguy cơ phát triển sự phụ thuộc không lành mạnh vào Internet và những bé có sự tự hào đáng kể có 67% nguy cơ tăng lên .,Trẻ trai và gái bị rối loạn khả năng tập trung sẽ gia tăng 72 phần trăm nguy cơ lệ thuộc không lành mạnh vào mạng internet và những người có biểu hiện thái độ chống đối đáng kể gia tăng 67 phần trăm nguy cơ .
We're working with people.,Chúng tôi đang làm việc với mọi người.,mà là làm việc cùng với con người.
Like my friend who says he's not ever going to give up his SUV,Như bạn tôi nói ông sẽ không bao giờ từ bỏ SUV của mình,Như một người bạn đã nói rằng sẽ không bao giờ từ bỏ con SUV
"And unlike other countries,","Và không giống những quốc gia khác,","Và không giống các nước khác,"
"But we were thinking, no, no, no, this is an exception.","Nhưng chúng tôi đã nghĩ, không, không, đây là một ngoại lệ.","Nhưng chúng tôi nghĩ, không, không, đó là một ngoại lệ."
at a different wavelength.,ở một dạng sóng khác.,vá»i má»t bÆ°á»c sÃ³ng khÃ¡c.
"This works the same way if you visit a museum,","Điều này hoạt động giống như nếu bạn đến bảo tàng,","Việc làm này cũng tương tự như lúc bạn đến bảo tàng,"
She spends 10 times that amount every month,Cô ấy dành 10 lần số lượng mỗi tháng,Vì cô ấy cần gấp 10 lần số đó mỗi tháng
Hepatitis B,Viêm gan B,Bệnh viêm gan siêu vi B
"Lieutenant Colonel Phan Ba Hieu of the infectious diseases department at the 175 Military Hospital, where the unidentified patient is being treated, said on Thursday he had been hospitalized nine days earlier with fever, a sore throat, and swelling in the jaw and neck.","Đại tá Phan Bá Hiền thuộc khoa bệnh truyền nhiễm tại Bệnh viện Quân sự 175, nơi bệnh nhân không được nhận điều trị, cho biết hôm thứ Năm, anh đã được nhập viện chín ngày trước đó bị sốt, đau họng và sưng ở cổ họng và cổ họng.","Trung tá Phan Bá Hiếu, thuộc khoa bệnh truyền nhiễm tại Bệnh viện Quân y 175, nơi bệnh nhân không rõ danh tính đang được điều trị, cho biết hôm thứ Năm, anh đã nhập viện 9 ngày trước  khi sốt, đau họng và sưng ở hàm và cổ."
because I can't think of a single woman,vì tôi không thể nghĩ đến một người phụ nữ,bởi tôi nghĩ không một người phụ nữ nào
And there are so many amazing technologies out there.,Và có rất nhiều công nghệ tuyệt vời ở đó.,Và có rất nhiều công nghệ tuyệt vời ngoài kia.
5 Products That Failed And Why,5 sản phẩm không thể và tại sao,5 sản phẩm thất bại và tại sao
"where there is no scope for individual toilets,","nơi không có hệ thống cho nhà vệ sinh cá nhân,","nơi mà không có đủ diện tích cho các nhà vệ sinh cá nhân,"
"And yet it's not included in our cultural perception of physics,","Tuy nhiên nó không được gắn liền trong nhận thức vật lý vật lý,","Nhưng trong nhiều hiện tượng, ta không mô tả vật lý cụ thể,"
authoritative medical advice instead of cranks.,lời khuyên y tế tự nhiên thay vì lấy lỗi.,"những lời khuyên y tế hữu ích, đáng tin thay vì vài lời kỳ quặc."
"The third author is UC Berkeley psychologist Dacher Kel tner , an expert on pro-social emotions .","Tác giả thứ ba là nhà tâm lý học ở UC Berkeley Dacher Kel tner , một chuyên gia về cảm xúc xã hội .","Tác giả thứ ba là nhà tâm lý học tại Đại học California , Berkeley : Dacher Keltner , một chuyên gia về những cảm xúc được xã hội ủng hộ ."
Let's take imagination about a situation that someone disappears for a couple of days.,Hãy tưởng tượng về một tình huống mà ai đó biến mất trong vài ngày.,Hãy tưởng tượng một tình huống mà một người bị mất tích sau hai ngày.
"You may think "" Man , I don't want to go to the doctor for that ! ""","Bạn có thể nghĩ "" Con , con không muốn đến bác sĩ để được ! ""","Bạn cũng có thể nghĩ là "" Ôi trời , tôi không muốn đi bác sĩ chuyện đó đâu !"
"You're not a faggot, you're not a punk,","Bạn không phải là một lời gì đó, bạn không phải là một lời xúc xích,","Không phải một tay đồng tính hay du côn,"
Michael Jackson 's doctor Conrad Murray wept in court as former patients testified in his defence during his involuntary manslaughter trial .,Bác sĩ Conrad Murray của Michael Jackson đã tấn công tòa án khi các bệnh nhân cũ được kiểm tra trong phiên tòa tội phạm tự nguyện trong thử nghiệm tội phạm .,Bác sĩ của Michael Jackson - Conrad Murray - đã khóc tại toà án khi các bệnh nhân cũ làm chứng bênh vực cho ông ta trong phiên xử về tội ngộ sát này .
I just thought that the senders and I had nothing in common.,Tôi chỉ nghĩ rằng những người gửi và tôi không có gì chung.,Tôi nghĩ rằng bọn họ và tôi không có điểm gì chung.
"but rather, a function of how socially connected you are","nhưng thay vào đó, chức năng của việc bạn kết nối xã hội",nó còn cho thấy bạn kết nối xã hội thế nào
"one very similar to the farm crisis of the 1980s,","tương tự với cuộc khủng hoảng nông nghiệp vào những năm 1980,","rất giống với cuộc khủng hoảng trang trại vào những năm 80,"
"Sa Pa is one of a few places in Vietnam's northern highlands where it snows in winter, but this is a rare phenomenon.","Sa Pa là một trong vài nơi ở các vùng cao phía bắc của Việt Nam nơi tuyết vào mùa đông, nhưng đây là một hiện tượng hiếm khi.","Sa Pa là một trong số ít nơi ở vùng cao phía bắc Việt Nam có tuyết vào mùa đông, nhưng đây là một hiện tượng hiếm gặp."
"So that when the humans finally do go,","Vì vậy, khi con người cuối cùng đi,","Vậy nên khi con người đến đó,"
This is one these magical abilities that we humans have.,Đây là một khả năng ma thuật mà con người có.,Đây là một trong những khả năng kì diệu của con người.
2 . Consumers wo n't like it either,2 . Người tiêu dùng sẽ không thích nó,2 . Người tiêu dùng sẽ không thích chọn nó để thay thế .
They find it quite fascinating.,Họ thấy nó khá thú vị.,Họ thấy nó khá thú vị.
The whole family has different things to commend to it.,Toàn bộ gia đình có những thứ khác nhau để nói chuyện với nó.,Toàn bộ hệ thống kiểu chữ có những đặc tính khác nhau.
He turned to his disciples smiled and asked .,Ông quay về các thầy thầy cười và hỏi .,Ông quay sang các môn đệ của mình mĩm cười và hỏi .
"These psychologists try to figure out why it is that some animals have “instincts” for various behaviours such as parenting, mating, or fighting.","Các nhà tâm lý học này cố tìm hiểu lý do tại sao một số động vật có “bản năng” cho nhiều hành vi khác nhau như là nuôi con, giao tùng hoặc chiến đấu.","Các nhà tâm lý học này cố gắng tìm ra lý do tại sao một số động vật có “bản năng” cho các hành vi khác nhau như nuôi dạy con cái, giao phối hoặc chiến đấu."
Alternatively it would like someone else to take control of the data or pay to keep the information intact .,"Thay vào đó , người khác muốn kiểm soát dữ liệu hoặc trả tiền để giữ cho thông tin không được tồn tại .",Hoặc hãng muốn có một công ty khác quản lý kho dữ liệu này hoặc chi trả phí cho việc bảo tồn dữ liệu .
And he turned and quietly left the room .,Và ông ấy rời khỏi và yên tĩnh rời khỏi phòng .,Và cậu bé quay đi và lặng lẽ rời khỏi phòng .
He would imagine them finding a mountain stream,Ông sẽ tưởng tượng họ tìm ra một dòng đá,Em tưởng tượng cảnh hai bố con tìm thấy một dòng suối trên núi
"Tower of Pisa , situated in Pisa , is considered one of oldest structures of the place .","Thành phố Pisa , nằm ở Pisa , được coi là một trong những cấu trúc cũ nhất ở nơi này .","Tháp Pi-sa , tọa lạc tại thành phố Pi-sa , được xem là một trong những kiến trúc cổ nhất tại đây ."
"you'll notice that there are some parts that have been printed in color,","bạn sẽ nhận thấy có một số phần được in màu sắc,","bạn sẽ nhận thấy có nhiều chi tiết được in màu,"
which mostly arises from the very inequalities we're not serving.,từ những sự bất bình đẳng mà chúng ta không phục vụ.,cái chủ yếu phát sinh từ sự bất bình đẳng mà chúng ta không phục vụ.
people will need to be willing to share their health data,mọi người sẽ cần sẵn sàng chia sẻ dữ liệu sức khỏe,mọi người sẽ cần cố gắng chia sẻ dữ liệu sức khỏe của mình
Not the obvious stuff.,Không phải những thứ rõ ràng.,Đó không phải là điều hiển nhiên.
Cash ( B RK/A ) and cash equivalents were about $ 34.8 billion .,Tổng tương đương tiền ( B RK/A ) và tương đương tiền tệ khoảng 34.8 tỷ đô la .,Tiền mặt ( đô la Mỹ ) và tương đương tiền mặt khoảng 34.8 tỷ đô la .
and another.,và một cái khác.,liên tiếp
The US must raise its $ 14.3tn ( £8.9tn ) debt ceiling to borrow beyond 2 August .,"Hoa Kỳ phải tăng giá nợ 14,3 tỷ đô la ( 8.9 tỷ bảng Anh ) để vay hơn ngày 2 tháng tám .","Hoa Kỳ phải nâng mức trần vay nợ 14,3 tỷ đô - la ( 8,9 tỷ bảng Anh ) sau thời hạn 2 tháng Tám ."
"than using insecticides, which are toxic chemicals.","so với việc sử dụng thuốc côn trùng, là hoá chất độc hại.","hơn việc sử dụng thuốc diệt côn trùng, những hoá chất độc hại."
"and basically started with all of the renewable,","và về cơ bản bắt đầu với tất cả những sự tái tạo,",và cơ bản đã bắt đầu với tất cả nguồn nguyên liệu
the party started today.,tiệc bắt đầu ngày hôm nay.,bữa tiệc đã bắt đầu hôm nay.
"Watch ants for any length of time, and you'll witness some remarkable feats of strength.","Hãy theo dõi những tấm xích trong bất kỳ thời gian nào, và bạn sẽ chứng kiến một số tấm ảnh hưởng đáng kể.","Bất cứ khi nào bạn quan sát kiến, bạn sẽ thấy sức mạnh đáng nể của chúng."
"meaning that we can eat a lot of them,","nghĩa là chúng ta có thể ăn nhiều chúng,","có nghĩa là chúng ta có thể ăn nhiều,"
"Entering 20 century , ao yem was used widespread with many of rich designs and models .","Trong thế kỷ 20 , ao yếm được sử dụng rộng rãi với nhiều thiết kế và mô hình giàu có .","Sang thế kỷ 20 , áo yếm được sử dụng rộng rãi với kiểu dáng và thiết kế đa dạng ."
Be aware that you cannot use benzoyl peroxide and salicylic acid simultaneously .,Hãy nhận thức rằng bạn không thể sử dụng benzoyl Peroxide và axit salicylic .,Nên biết rằng bạn không thể đồng thời sử dụng cả Benzoyl peroxid và a-xít salixilic được .
and that bothers me.,và điều đó làm tôi cảm thấy đau buồn.,điều đó làm tôi rất băn khoăn.
So I made the commitment to tell my personal story.,Vì vậy tôi cam kết kể câu chuyện cá nhân của mình.,Vậy nên tôi đã cam kết sẽ nói lên câu chuyện về bản thân tôi.
they have the urge to become sort of heroic.,họ có sự muốn trở thành một người hùng hậu.,thì họ sẽ được thôi thúc để trở thành một người hùng như thế.
"or the trappings around it morph from book to audio to Instagram to Snapchat,","hoặc những sự lắc lộn xung quanh nó từ cuốn sách đến âm thanh đến Instagram đến Snapchat,","hoặc hình thức của nó chuyển từ sách sang âm thanh, Instagram hay Snapchat,"
the table has a nice shape.,bàn có hình dáng tốt.,cái bàn có một hình dáng đẹp.
They studied the sky .,Họ nghiên cứu bầu trời .,Họ nghiên cứu bầu trời .
"Public health communications programs, vaccination programs and distribution of condoms are examples of common preventive public health measures.","Các chương trình truyền thông y tế công cộng, chương trình tiêm chủng và phân phối bao cao su là ví dụ của các biện pháp phòng ngừa công cộng thông thường.","Các chương trình tiêm chủng vắc-xin, vệ sinh nước sạch,môi trường là những ví dụ của công tác hoạt động y tế công cộng."
"boys tend to be taller than girls,","những cậu bé thường cao hơn những cô gái,","các bé trai có xu hướng cao hơn các bé gái,"
"But again, Uri's idea is not a bad idea","Nhưng lại, ý tưởng của Uri không phải là một ý tưởng xấu","Nhưng tóm lại, ý tưởng của Uri không tồi"
"On 22 March, Bangladesh declared a 10-day shut down effective from March 26 to April 4 to fight the spread of coronavirus.","Vào ngày 22 tháng 3, Bangladesh tuyên bố đóng cửa 10 ngày có hiệu quả từ ngày 26 tháng 3 đến ngày 4 tháng 4 để chống lại sự lây lan của coronavirus.","Vào ngày 22 tháng 3, Bangladesh tuyên bố ngưng hoạt động trong 10 ngày từ 26 tháng 3 đến 4 tháng 4 để ngăn chặn sự lây lan của coronavirus."
Map of global confirmed coronavirus COVID-19 cases and historical data in near real-time by the Johns Hopkins University,Bản đồ các trường hợp nhiễm COVID-19 toàn cầu và dữ liệu lịch sử trong gần thời gian thực tại của Đại học Johns Hopkins,Bản đồ các trường hợp coronavirus COVID-19 được xác nhận toàn cầu và dữ liệu lịch sử gần thời gian thực của Đại học Johns Hopkins
The House of Representatives passed the White House backed bill on Wednesday .,Hạ Viện đã truyền dự luật của Nhà Trắng vào hôm thứ tư .,Hạ viện đã thông qua dự luật được Nhà Trắng ủng hộ vào hôm thứ Tư .
For the past 15 years I've been trying to change your mind.,Trong 15 năm qua tôi đã cố gắng thay đổi tâm trí của bạn.,"Suốt 15 năm qua, tôi đã cố gắng thay đổi suy nghĩ của bạn."
Tom's kids were here a while ago looking for him.,Trẻ em của Tom đã ở đây một thời gian trước đó để tìm kiếm anh ấy.,Mấy đứa trẻ nhà Tom đã ở đây một lúc trước để tìm anh ta.
held by the typical white family.,được tổ chức bởi gia đình da trắng đặc biệt.,một gia đình người da trắng nắm giữ.
